fecha,pib,petroleo,riesgo
2010-03-31,15610.73,72.48,744.63
2010-06-30,15506.22,71.79,776.06
2010-09-30,15970.06,75.03,674.27
2010-12-31,15881.76,82.65,642.44
2011-03-31,15985.23,81.48,846.83
2011-06-30,16482.67,80.3,904.71
2011-09-30,16546.78,88.2,738.2
2011-12-31,16523.87,92.04,834.24
2012-03-31,16648.9,89.69,777.09
2012-06-30,16729.74,92.4,668.28
2012-09-30,16442.63,90.09,775.88
2012-12-31,16470.74,87.76,900.53
2013-03-31,16450.88,88.97,739.52
2013-06-30,16455.56,79.4,928.26
2013-09-30,16481.71,70.78,535.7
2013-12-31,16687.29,67.96,888.3
2014-03-31,16609.14,62.9,830.0
2014-06-30,16682.1,64.47,786.68
2014-09-30,16873.05,59.93,839.38
2014-12-31,16749.64,52.87,652.63
2015-03-31,16891.01,60.2,807.44
2015-06-30,17210.62,59.07,868.5
2015-09-30,16936.97,59.41,979.57
2015-12-31,17091.78,52.28,801.32
2016-03-31,17226.96,49.56,780.47
2016-06-30,17474.37,50.12,809.48
2016-09-30,17189.94,44.36,968.46
2016-12-31,17076.78,46.24,904.16
2017-03-31,17289.56,43.24,827.31
2017-06-30,17380.03,41.78,935.99
2017-09-30,17516.34,38.77,903.4
2017-12-31,17748.56,48.03,962.77
2018-03-31,17795.32,47.96,795.9
2018-06-30,17862.23,42.67,849.21
2018-09-30,18071.36,46.79,830.43
2018-12-31,18011.86,40.68,741.6
2019-03-31,18409.05,41.73,914.43
2019-06-30,18492.88,31.93,940.32
2019-09-30,18291.05,25.29,934.65
2019-12-31,18545.67,26.27,907.72
2020-03-31,18552.23,29.96,778.57
2020-06-30,18769.76,30.82,875.47
2020-09-30,19090.94,30.24,885.0
2020-12-31,19032.47,28.74,843.56
2021-03-31,19208.08,21.35,929.84
2021-06-30,19320.97,20.0,997.17
2021-09-30,19484.79,20.0,1152.29
2021-12-31,20110.52,20.73,965.27
2022-03-31,20177.05,22.45,968.41
2022-06-30,20041.53,20.0,961.66
2022-09-30,20074.47,20.0,772.37
2022-12-31,19894.56,20.0,967.37
2023-03-31,19935.88,20.0,986.2
2023-06-30,20019.13,20.0,1217.32
2023-09-30,20366.53,20.0,936.3
2023-12-31,20660.82,22.81,971.72
2024-03-31,20731.98,20.0,950.68
2024-06-30,21161.6,20.0,841.92
2024-09-30,21112.14,20.0,1068.1
2024-12-31,21831.82,23.6,1014.38
